From,To,Predicted_Points
armenia,austria,4
armenia,cyprus,6
armenia,france,7
armenia,georgia,8
armenia,hungary,3
armenia,malta,5
armenia,poland,1
armenia,russia,12
armenia,sweden,2
armenia,ukraine,10
australia,austria,3
australia,belgium,12
australia,bulgaria,10
australia,france,7
australia,lithuania,1
australia,malta,6
australia,russia,5
australia,spain,2
australia,ukraine,8
australia,united kingdom,4
austria,australia,3
austria,bulgaria,5
austria,france,1
austria,germany,2
austria,poland,12
austria,russia,8
austria,serbia,4
austria,sweden,7
austria,the netherlands,6
austria,ukraine,10
azerbaijan,australia,2
azerbaijan,bulgaria,8
azerbaijan,france,4
azerbaijan,georgia,1
azerbaijan,hungary,7
azerbaijan,israel,6
azerbaijan,malta,5
azerbaijan,poland,3
azerbaijan,russia,12
azerbaijan,ukraine,10
bulgaria,armenia,8
bulgaria,australia,5
bulgaria,austria,4
bulgaria,azerbaijan,1
bulgaria,cyprus,7
bulgaria,israel,2
bulgaria,poland,6
bulgaria,russia,12
bulgaria,sweden,3
bulgaria,ukraine,10
croatia,australia,5
croatia,austria,6
croatia,bulgaria,1
croatia,france,2
croatia,hungary,3
croatia,poland,4
croatia,russia,8
croatia,serbia,12
croatia,sweden,7
croatia,ukraine,10
cyprus,armenia,8
cyprus,australia,5
cyprus,bulgaria,12
cyprus,france,6
cyprus,hungary,4
cyprus,lithuania,3
cyprus,poland,2
cyprus,russia,10
cyprus,sweden,1
cyprus,ukraine,7
czech-republic,australia,1
czech-republic,austria,4
czech-republic,hungary,3
czech-republic,sweden,2
france,armenia,12
france,austria,8
france,belgium,4
france,bulgaria,5
france,israel,3
france,poland,7
france,russia,6
france,spain,1
france,sweden,2
france,ukraine,10
georgia,armenia,12
georgia,australia,1
georgia,azerbaijan,7
georgia,bulgaria,3
georgia,hungary,2
georgia,latvia,6
georgia,lithuania,5
georgia,poland,4
georgia,russia,8
georgia,ukraine,10
germany,armenia,2
germany,australia,5
germany,austria,7
germany,bulgaria,4
germany,italy,1
germany,poland,10
germany,russia,12
germany,sweden,8
germany,the netherlands,3
germany,ukraine,6
hungary,australia,3
hungary,austria,6
hungary,bulgaria,4
hungary,cyprus,5
hungary,france,1
hungary,poland,8
hungary,russia,10
hungary,sweden,7
hungary,the netherlands,2
hungary,ukraine,12
israel,armenia,6
israel,australia,5
israel,austria,3
israel,azerbaijan,2
israel,belgium,1
israel,bulgaria,7
israel,france,12
israel,poland,4
israel,russia,10
israel,ukraine,8
italy,armenia,1
italy,bulgaria,7
italy,cyprus,6
italy,france,5
italy,georgia,3
italy,lithuania,2
italy,poland,10
italy,russia,8
italy,serbia,4
italy,ukraine,12
latvia,australia,6
latvia,austria,4
latvia,azerbaijan,3
latvia,bulgaria,1
latvia,georgia,2
latvia,lithuania,8
latvia,poland,5
latvia,russia,12
latvia,sweden,7
latvia,ukraine,10
lithuania,australia,5
lithuania,austria,1
lithuania,france,3
lithuania,georgia,4
lithuania,hungary,2
lithuania,latvia,12
lithuania,poland,6
lithuania,russia,8
lithuania,sweden,7
lithuania,ukraine,10
malta,australia,12
malta,azerbaijan,6
malta,bulgaria,8
malta,france,2
malta,hungary,5
malta,italy,7
malta,russia,10
malta,the netherlands,3
malta,ukraine,4
malta,united kingdom,1
poland,armenia,2
poland,australia,7
poland,austria,4
poland,bulgaria,3
poland,cyprus,1
poland,hungary,6
poland,latvia,5
poland,russia,8
poland,sweden,10
poland,ukraine,12
russia,armenia,12
russia,australia,4
russia,austria,8
russia,azerbaijan,6
russia,cyprus,7
russia,france,3
russia,latvia ,1
russia,poland,5
russia,sweden,2
russia,ukraine,10
serbia,armenia,2
serbia,australia,6
serbia,belgium,5
serbia,bulgaria,8
serbia,croatia,4
serbia,cyprus,3
serbia,hungary,10
serbia,russia,12
serbia,sweden,1
serbia,ukraine,7
spain,armenia,6
spain,australia,4
spain,austria,2
spain,bulgaria,12
spain,france,10
spain,italy,3
spain,poland,5
spain,russia,8
spain,sweden,1
spain,ukraine,7
sweden,australia,12
sweden,austria,5
sweden,bulgaria,4
sweden,france,3
sweden,lithuania,6
sweden,poland,10
sweden,russia,8
sweden,spain,1
sweden,the netherlands,2
sweden,ukraine,7
the-netherlands,armenia,8
the-netherlands,australia,5
the-netherlands,austria,6
the-netherlands,belgium,12
the-netherlands,bulgaria,1
the-netherlands,france,4
the-netherlands,poland,10
the-netherlands,russia,3
the-netherlands,sweden,2
the-netherlands,ukraine,7
ukraine,armenia,7
ukraine,australia,4
ukraine,azerbaijan,10
ukraine,bulgaria,2
ukraine,georgia,6
ukraine,latvia,5
ukraine,lithuania,3
ukraine,poland,8
ukraine,russia,12
ukraine,sweden,1
united-kingdom,australia,6
united-kingdom,bulgaria,8
united-kingdom,cyprus,2
united-kingdom,latvia,3
united-kingdom,lithuania,12
united-kingdom,poland,10
united-kingdom,russia,7
united-kingdom,spain,4
united-kingdom,sweden,1
united-kingdom,ukraine,5
