From,To,Predicted_Points
albania,azerbaijan,4
albania,bosnia & herzegovina,5
albania,croatia,2
albania,cyprus,7
albania,denmark,2
albania,france,1
albania,germany,6
albania,greece,12
albania,iceland,6
albania,israel,4
albania,israel ,3
albania,malta,4
albania,north macedonia,10
albania,norway,7
albania,romania,5
albania,serbia,3
albania,serbia & montenegro,6
albania,spain,7
albania,sweden,1
albania,turkey,9
albania,united kingdom,4
armenia,azerbaijan,1
armenia,denmark,5
armenia,france,6
armenia,georgia,12
armenia,greece,6
armenia,iceland,5
armenia,moldova,2
armenia,norway,5
armenia,portugal,4
armenia,romania,1
armenia,russia,11
armenia,spain,7
armenia,turkey,4
armenia,ukraine,5
armenia,united kingdom,7
austria,azerbaijan,8
austria,belgium,3
austria,bosnia & herzegovina,12
austria,denmark,3
austria,finland,7
austria,france,10
austria,germany,5
austria,greece,4
austria,hungary,2
austria,ireland,6
austria,israel,7
austria,italy,3
austria,luxembourg,4
austria,moldova,5
austria,monaco,5
austria,norway,1
austria,portugal,7
austria,romania,1
austria,serbia,7
austria,slovenia,3
austria,spain,6
austria,switzerland,8
austria,the netherlands,6
austria,turkey,3
austria,united kingdom,7
azerbaijan,bosnia & herzegovina,2
azerbaijan,croatia,5
azerbaijan,denmark,4
azerbaijan,estonia,4
azerbaijan,georgia,9
azerbaijan,germany,1
azerbaijan,greece,8
azerbaijan,hungary,2
azerbaijan,israel,5
azerbaijan,italy,1
azerbaijan,lithuania,1
azerbaijan,moldova,7
azerbaijan,norway,8
azerbaijan,romania,5
azerbaijan,russia,4
azerbaijan,sweden,3
azerbaijan,turkey,12
azerbaijan,ukraine,10
azerbaijan,united kingdom,3
belarus,armenia,5
belarus,azerbaijan,6
belarus,georgia,7
belarus,iceland,2
belarus,israel,8
belarus,moldova,4
belarus,romania,1
belarus,russia,12
belarus,turkey,3
belarus,ukraine,10
belgium, yugoslavia,1
belgium,albania,3
belgium,armenia,7
belgium,austria,3
belgium,azerbaijan,5
belgium,cyprus,5
belgium,denmark,7
belgium,france,6
belgium,georgia,4
belgium,germany,7
belgium,greece,5
belgium,iceland,8
belgium,ireland,7
belgium,israel,5
belgium,italy,6
belgium,luxembourg,6
belgium,monaco,5
belgium,norway,5
belgium,portugal,4
belgium,spain,5
belgium,sweden,4
belgium,switzerland,7
belgium,the netherlands,4
belgium,turkey,6
belgium,united kingdom,8
belgium,yugoslavia,5
croatia,albania,3
croatia,azerbaijan,10
croatia,bosnia & herzegovina,11
croatia,estonia,6
croatia,greece,6
croatia,hungary,6
croatia,iceland,2
croatia,latvia,7
croatia,malta,4
croatia,moldova,2
croatia,north macedonia,8
croatia,norway,8
croatia,serbia & montenegro,12
croatia,switzerland,3
croatia,turkey,1
croatia,united kingdom,4
cyprus,armenia,7
cyprus,azerbaijan,10
cyprus,belgium,5
cyprus,france,5
cyprus,georgia,5
cyprus,germany,6
cyprus,greece,10
cyprus,hungary,7
cyprus,ireland,12
cyprus,israel,2
cyprus,latvia,1
cyprus,malta,6
cyprus,moldova,2
cyprus,norway,3
cyprus,romania,8
cyprus,serbia,1
cyprus,serbia & montenegro,10
cyprus,sweden,1
cyprus,switzerland,7
cyprus,the netherlands,2
cyprus,ukraine,6
cyprus,united kingdom,4
cyprus,yugoslavia,3
denmark, france,1
denmark,austria,3
denmark,azerbaijan,5
denmark,belgium,7
denmark,bosnia & herzegovina,4
denmark,cyprus,2
denmark,estonia,5
denmark,france,5
denmark,germany,8
denmark,greece,2
denmark,iceland,6
denmark,ireland,8
denmark,israel,4
denmark,italy,3
denmark,latvia,6
denmark,lithuania,1
denmark,luxembourg,5
denmark,malta,10
denmark,monaco,7
denmark,norway,10
denmark,portugal,5
denmark,romania,6
denmark,spain,8
denmark,sweden,6
denmark,switzerland,5
denmark,the netherlands,7
denmark,turkey,7
denmark,united kingdom,7
denmark,yugoslavia,3
estonia,albania,1
estonia,azerbaijan,7
estonia,finland,4
estonia,iceland,8
estonia,israel,5
estonia,lithuania,2
estonia,norway,12
estonia,portugal,3
estonia,russia,10
estonia,sweden,6
finland,armenia,1
finland,austria,4
finland,azerbaijan,2
finland,belgium,6
finland,bosnia & herzegovina,6
finland,denmark,7
finland,estonia,12
finland,france,5
finland,germany,6
finland,greece,5
finland,iceland,10
finland,ireland,6
finland,israel,9
finland,italy,5
finland,luxembourg,5
finland,malta,3
